1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
0,0,1,1,2,2,0,0,1,0,0,1,3,0,1,0,1,4,1,0,19,2
2,7,2,7,0,1,1,0,5,0,2,0,0,1,4,0,4,0,1,1,9,0
0,1,7,7,0,73,1,0,0,0,1,1,8,1,1,0,1,0,2,0,1,0
0,1,2,0,0,0,1,6,6,0,1,0,0,1,12,0,5,0,6,1,0,1
0,2,0,1,2,2,4,0,0,29,3,2,2,2,1,0,0,12,26,0,0,0
11,0,0,1,107,39,0,4,5,8,5,0,7,0,1,0,0,7,2,4,4,4
2,1,12,35,0,1,1,0,0,0,1,0,0,3,28,2,1,1,2,0,3,6
3,1,34,6,0,0,6,0,0,0,27,2,0,3,5,1,5,1,5,3,1,2
1,0,2,4,3,0,13,79,1,0,1,98,8,5,1,53,1,2,0,2,0,9
1,1,5,1,0,3,0,2,8,8,6,0,3,3,2,0,1,0,9,0,1,3
38,2,2,11,12,0,0,18,0,2,5,5,0,9,0,4,2,0,1,0,1,0
0,0,0,4,0,0,1,0,17,0,13,3,37,0,2,2,3,10,1,8,2,0
3,4,8,0,1,1,0,1,2,0,1,0,1,4,0,0,4,1,0,2,0,0
0,0,1,2,0,11,0,30,0,0,0,1,3,22,2,0,0,6,1,0,2,1
0,0,4,0,9,1,1,1,0,0,10,0,7,10,0,0,0,1,5,12,4,7
0,19,2,1,6,0,12,6,2,1,4,3,0,0,7,2,4,0,2,0,2,0
0,0,2,1,1,0,4,1,2,1,2,1,1,0,0,25,0,2,11,0,0,1
7,1,0,0,0,8,2,3,1,4,0,8,1,9,5,2,3,1,0,1,13,0
2,1,1,2,2,1,1,3,0,0,24,23,0,3,1,0,6,81,1,3,4,0
2,2,0,17,3,0,0,8,0,2,16,2,0,1,0,19,2,0,0,4,0,27
3,3,1,3,1,3,0,1,2,25,2,16,0,0,0,8,0,2,1,1,6,1
2,3,16,0,0,1,0,0,5,5,1,4,2,10,0,5,8,1,3,8,1,2
6,1,0,161,2,0,0,0,1,13,3,3,0,0,1,3,1,1,2,8,0,21
1,7,0,0,1,0,7,6,0,3,2,0,0,0,4,0,3,57,1,60,1,5
16,0,1,7,0,1,0,0,2,0,7,0,13,0,1,0,6,4,1,1,0,4
0,7,2,0,1,1,1,0,6,0,0,3,0,1,4,1,1,4,0,5,1,11
2,2,3,3,1,1,0,2,0,2,0,0,0,2,7,0,2,1,0,0,0,3
0,2,2,0,8,38,18,0,0,12,0,2,4,8,4,40,4,0,6,2,1,1
7,3,4,1,0,0,3,0,2,7,0,6,0,12,0,0,0,4,0,3,11,0
0,10,0,0,4,2563,0,1,1,1,2,1,2,11,1,1,1,2,6,37,1,8
0,1,28,0,0,1,1,0,0,6,109,2,0,2,2,1,4,12,0,30,5,1
1,3,4,0,5,438,5,1,0,0,7,1,2,0,0,0,0,5,2,4,0,0
1,4,0,6,0,1,0,0,8,1,0,9,3,9,0,0,3,0,2,19,6,5
72,0,5,2,1,0,1,1,2,0,2,0,1,0,5,3,9,5,0,0,2,3
1,10,0,5,17,5,0,1,15,0,6,0,3,0,0,3,0,1,2,4,4,2
0,0,1,0,291,6,4,0,0,0,21,16,3,1,96,4,1,0,6,1,8,69
0,0,13,0,10,18,4,1,6,0,18,0,1,2,0,0,1,0,2,0,0,4
2,9,5,1,159,0,1,1,5,18,2,3,0,1,0,6,1,2,0,1,0,1
0,0,3,0,16,0,11,1,0,7,2,0,0,0,2,2,16,0,1,15,5,0
5,0,3,2,18,1,0,0,0,0,19,2,4,3,0,0,4,1,0,1,0,1
3,0,1,1,1,1,4,0,0,3,0,0,0,0,0,27,0,14,4,0,0,4
0,0,0,0,2,35,7,1,0,1,2,0,4,0,0,0,18,4,0,5,1,2
1,1,2,41,0,2,0,4,2,3,2,3,0,1,0,23,7,6,1,26,2,13
1,1,1,0,4,0,13,1,1,3,0,0,1,2,0,5,0,0,14,3,0,1
1,1,4,5,1,2,1,0,0,97,0,0,3,9,0,3,3,2,0,8,0,1
0,3,19,2,6,0,0,3,0,0,1,3,1,6,53,0,11,2,1,4,0,0
0,1,5,31,5,71,0,2,234,0,6,16,40,0,7,0,0,7,42,0,2,4
0,1,1,0,2,0,2,9,7,0,0,7,0,17,3,1,65,125,0,3,37,0
0,4,3,6,31,1,1,156,1,3,7,4,0,0,1,30,31,3,5,7,5,0
2,5,0,3,2,6,1,2,1,0,5,5,0,2,13,0,1,4,0,0,1,2
3,0,22,6,13,1,0,0,7,5,1,0,6,0,1,4,3,317,1,0,3,12
9,22,1,0,10,3,1,0,3,3,1,3,0,3,0,1,2,40,1,6,0,3
6,156,11,1,1,1,1,8,1,0,8,0,4,11,5,0,1,1,3,4,0,13
2,1,1,0,3,0,0,2,0,0,2,0,5,5,2,2,0,0,0,1,1,2
12,3,0,1,0,0,58,157,0,1,7,0,2,0,2,0,1,2,1,55,1,1
0,7,0,7,0,0,10,1,2,0,0,0,3,0,14,0,0,1,1,2,2,0
0,2,1,3,0,1,0,1,22,3,0,1,0,3,3,0,2,0,2,3,0,0
1,28,15,0,4,0,1,0,1,0,0,1,3,0,0,2,3,7,0,15,1,0
17172,0,0,1,1,0,3,0,1,1,10,0,106,2,0,1,1,0,44,9,0,43
2,1,2,0,2,13,0,2,0,6,1,27,4,1,29,0,5,0,1,2,24,5
0,0,1,1,0,0,4,1,0,1,1,0,4,1,7,0,0,4,5,13,1,0
0,3,1,6,8,2,2,1,5,0,8,0,42,7,3,0,10,0,0,0,65,0
